Date,SP500,T10yAaa.lag,AaaBaa.lag,T10yT1y.lag
1986-01-03,0.006136052724122,0.88,1.46,1.4
1986-01-06,-0.001091315082551,0.87,1.43,1.4
1986-01-07,0.014843052680992,0.87,1.42,1.43
1986-01-08,-0.027647169284535,0.91,1.44,1.35
1986-01-09,-0.008983831631231,0.76,1.45,1.4
1986-01-10,-0.000728002541862,0.71,1.45,1.44
1986-01-13,0.003683216266576,0.7,1.36,1.5
1986-01-14,-0.000387081483447,0.75,1.28,1.54
1986-01-15,0.007809131145048,0.75,1.28,1.5
1986-01-16,0.004360033810929,0.86,1.34,1.46
1986-01-17,-0.003544089035065,0.86,1.31,1.51
1986-01-20,-0.004327317154174,0.91,1.29,1.44
1986-01-21,-0.00841970537579,NA,1.31,NA
1986-01-22,-0.011239309141869,0.89,1.35,1.45
1986-01-23,0.003727845542783,0.84,1.39,1.52
1986-01-24,0.010616604232586,0.9,1.39,1.52
1986-01-27,0.004639735830752,0.89,1.37,1.55
1986-01-28,0.011601275932725,0.94,1.41,1.5
1986-01-29,0.002285147437072,0.94,1.47,1.45
1986-01-30,-0.004575533512526,0.89,1.45,1.44
1986-01-31,0.011636031619706,0.89,1.43,1.46
1986-02-03,0.010241119099017,0.89,1.4,1.51
1986-02-04,-0.005483383393623,0.9,1.4,1.43
1986-02-05,0.000798656531002,0.92,1.37,1.41
1986-02-06,0.002391924740683,0.9,1.38,1.39
1986-02-07,0.00509309795446,0.86,1.39,1.4
1986-02-10,0.007799514878681,0.83,1.39,1.31
1986-02-11,-0.001480965643589,0.9,1.4,1.26
1986-02-12,0.000231554332535,0.94,1.41,1.25
1986-02-13,0.006599433308619,0.96,1.4,1.2
1986-02-14,0.010797071946713,0.97,1.41,1.14
1986-02-18,0.012166324730949,1.05,1.42,1.09
1986-02-19,-0.012166324730949,1.06,1.43,1.08
1986-02-20,0.011131867620982,0.98,1.45,1.03
1986-02-21,0.010742176619166,1,1.44,0.99
1986-02-24,-0.001247322888076,1.02,1.52,0.92
1986-02-25,-0.002454659539259,1,1.56,0.86
1986-02-26,0.001116495249471,1,1.54,0.81
1986-02-27,0.012111729514002,0.95,1.56,0.79
1986-02-28,0.000661218033476,1.05,1.51,0.67
1986-03-03,-0.006632203703083,1,1.49,0.7
1986-03-04,-0.004624254541161,1.07,1.5,0.64
1986-03-05,-0.000178325013446,1.09,1.51,0.7
1986-03-06,0.003515294955275,1,1.48,0.82
1986-03-07,0.001952527748267,1.06,1.52,0.9
1986-03-10,0.004467529181707,1.14,1.54,0.89
1986-03-11,0.02230218760926,1.22,1.57,0.75
